NAME,B08303_001E,B08303_013E,state,county
"St. Mary Parish, Louisiana",18692,410,22,101
"Tensas Parish, Louisiana",1207,35,22,107
"Union Parish, Louisiana",8417,295,22,111
"Washington Parish, Louisiana",16300,1381,22,117
"West Carroll Parish, Louisiana",3846,100,22,123
"Allegany County, New York",18308,497,36,003
"Cattaraugus County, New York",31039,629,36,009
"Chemung County, New York",35006,736,36,015
"Columbia County, New York",25990,813,36,021
"Dutchess County, New York",132346,10044,36,027
"Essex County, New York",15218,550,36,031
"Genesee County, New York",27695,259,36,037
"Herkimer County, New York",26549,705,36,043
"Lewis County, New York",11149,417,36,049
"Monroe County, New York",332699,3546,36,055
"New York County, New York",770396,21735,36,061
"Onondaga County, New York",202751,2726,36,067
"Orleans County, New York",16404,287,36,073
"Putnam County, New York",45821,4200,36,079
"Richmond County, New York",203754,29348,36,085
"Anson County, North Carolina",9972,97,37,007
"Beaufort County, North Carolina",18426,469,37,013
"Brunswick County, North Carolina",49018,1227,37,019
"Cabarrus County, North Carolina",94622,2040,37,025
"Carteret County, North Carolina",29040,892,37,031
"Chatham County, North Carolina",28634,646,37,037
"Cleveland County, North Carolina",39227,496,37,045
"Cumberland County, North Carolina",147105,3106,37,051
"Davidson County, North Carolina",70172,1739,37,057
"Monterey County, California",178777,4817,06,053
"Napa County, California",64126,2308,06,055
"Nevada County, California",36857,1449,06,057
"Orange County, California",1418684,42029,06,059
"Placer County, California",156648,5321,06,061
"Plumas County, California",7023,126,06,063
"Riverside County, California",960523,74733,06,065
"Sacramento County, California",636309,22910,06,067
"San Benito County, California",27108,2480,06,069
"San Bernardino County, California",860104,58770,06,071
"San Diego County, California",1472667,32258,06,073
"San Francisco County, California",449727,17075,06,075
"San Joaquin County, California",291407,32181,06,077
"San Luis Obispo County, California",118343,3144,06,079
"San Mateo County, California",366598,7746,06,081
"Santa Clara County, California",877883,27256,06,085
"Santa Cruz County, California",118459,4478,06,087
"Sierra County, California",1072,35,06,091
"Solano County, California",194057,13889,06,095
"Sonoma County, California",225536,8410,06,097
"Sutter County, California",37409,1612,06,101
"Tehama County, California",22833,871,06,103
"Tulare County, California",171346,2955,06,107
"Tuolumne County, California",18656,1319,06,109
"Yolo County, California",88939,2891,06,113
"Yuba County, California",29309,1054,06,115
"Ashley County, Arkansas",7139,144,05,003
"Baxter County, Arkansas",14510,120,05,005
"Boone County, Arkansas",14971,272,05,009
"Calhoun County, Arkansas",2065,2,05,013
"Carroll County, Arkansas",10800,221,05,015
"Clark County, Arkansas",9759,184,05,019
"Clay County, Arkansas",5761,110,05,021
"Cleveland County, Arkansas",2942,228,05,025
"Columbia County, Arkansas",8710,123,05,027
"Craighead County, Arkansas",48270,709,05,031
"Crittenden County, Arkansas",19399,266,05,035
"Cross County, Arkansas",6782,200,05,037
"Desha County, Arkansas",4248,98,05,041
"Drew County, Arkansas",7497,120,05,043
"Franklin County, Arkansas",6645,276,05,047
"Fulton County, Arkansas",3764,86,05,049
"Grant County, Arkansas",7433,191,05,053
"Hempstead County, Arkansas",8337,129,05,057
"Hot Spring County, Arkansas",12874,175,05,059
"Independence County, Arkansas",15457,282,05,063
"Izard County, Arkansas",4130,34,05,065
"Mono County, California",7473,49,06,051
"Jefferson County, Arkansas",24177,141,05,069
"Johnson County, Arkansas",9886,223,05,071
"Lawrence County, Arkansas",6258,205,05,075
"Lincoln County, Arkansas",3159,36,05,079
"Little River County, Arkansas",4976,186,05,081
"Lonoke County, Arkansas",32436,600,05,085
